"name","pos","name_fp","team_fp","positionRank_fp","overallRank_fp","pts_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,362.4,637.3,431.5,5276.7,45.4,12,22.5,-2.6,0,NA,NA,NA,NA,NA,3
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,345.6,544.1,362.2,4563,37.4,8.1,49.6,216.6,2,NA,NA,NA,NA,NA,2
"DREWBREES","QB","Drew Brees","NO",3,3,336.1,641.5,427,5055.5,39.2,14,27.5,50.9,0.5,NA,NA,NA,NA,NA,1.5
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",4,4,308,475.1,288.6,3814.8,26.1,10.1,91.1,506.4,4.1,NA,NA,NA,NA,NA,2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",5,5,305,641.4,393.2,4810,33.9,16.7,31.5,81.9,1.2,NA,NA,NA,NA,NA,2.5
"NICKFOLES","QB","Nick Foles","PHI",6,6,298.8,536.2,345.1,4354.6,29.6,12.2,63.4,240.2,2.1,NA,NA,NA,NA,NA,3
"ANDREWLUCK","QB","Andrew Luck","IND",7,7,296.4,585.8,358.5,4227.5,26.1,11.3,61.3,316.7,3.3,NA,NA,NA,NA,NA,3
"CAMNEWTON","QB","Cam Newton","CAR",8,8,295,487.5,294.1,3626.3,22.2,14.6,111,585.2,6.3,NA,NA,NA,NA,NA,3
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",8,8,295,494.7,305.2,3825.6,23.6,12.3,94.9,521.6,4,NA,NA,NA,NA,NA,2
"MATTRYAN","QB","Matt Ryan","ATL",10,10,287.7,635.8,421.5,4712.3,30.1,14.4,26,68.1,0.8,NA,NA,NA,NA,NA,2
"TOMBRADY","QB","Tom Brady","NE",11,11,282.7,632.7,397.7,4538.6,30.3,11.7,26,27.5,1.1,NA,NA,NA,NA,NA,3
"TONYROMO","QB","Tony Romo","DAL",12,12,277.3,626.5,401,4528,31.2,15.4,23.8,41.9,0.5,NA,NA,NA,NA,NA,2.5
"RUSSELLWILSON","QB","Russell Wilson","SEA",13,13,273.1,436.2,275.7,3542.8,25.5,12.2,90.2,457.9,2.5,NA,NA,NA,NA,NA,3.5
"JAYCUTLER","QB","Jay Cutler","CHI",14,14,270,542.3,339.4,4027.6,29.9,14.3,31.9,160.7,1.3,NA,NA,NA,NA,NA,3
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,15,266,NA,NA,NA,NA,NA,252.2,1285.2,9.6,67.3,599.1,4,NA,NA,2
"PHILIPRIVERS","QB","Philip Rivers","SD",15,16,265.9,558.7,371,4476.1,29.1,13.9,27.7,52.7,0,NA,NA,NA,NA,NA,3.5
