"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,368,640,435,5210,48,12,32,-14,0,0,0,0,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,347,514,348,4378,39,7,47,225,2,0,0,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,329,626,435,4880,39,15,27,64,1,0,0,0,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",5,4,289,462,276,3365,20,15,118,637,8,0,0,0,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",7,5,285,490,294,3789,22,13,101,563,4,0,0,0,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,6,284,649,397,4471,32,18,34,84,2,0,0,0,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",6,7,282,581,357,4071,23,10,63,365,3,0,0,0,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",8,8,277,467,299,3969,26,11,70,273,3,0,0,0,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",10,9,269,400,257,3264,25,10,92,497,3,0,0,0,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,10,266,427,248,3378,22,11,101,474,4,0,0,0,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",13,11,264,633,413,4654,28,15,23,29,0,0,0,0,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",11,12,261,627,419,4377,28,14,24,86,0,0,0,0,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",12,12,261,626,402,4287,26,9,24,21,1,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",14,12,261,544,364,4392,28,12,26,45,0,0,0,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,15,250,0,0,0,0,0,298,1365,13,40,289,2,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",15,16,245,485,302,3653,28,16,32,196,1,0,0,0,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",3,17,244,0,0,0,0,0,247,1260,7,64,587,4,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,18,242,0,0,0,0,0,294,1402,9,42,342,3,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",17,19,237,520,317,3562,27,15,54,137,2,0,0,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,20,236,0,0,0,0,0,0,0,0,94,1664,12,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",16,21,235,511,319,3744,26,13,26,100,1,0,0,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",4,21,235,0,0,0,0,0,270,1227,8,70,576,2,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",5,23,229,0,0,0,0,0,303,1285,12,33,279,1,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",18,24,222,550,340,3912,25,16,20,27,0,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",19,25,221,566,346,4191,23,17,19,23,0,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",22,26,220,545,325,3672,23,17,42,209,1,0,0,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,27,216,0,0,0,0,0,0,0,0,93,1400,13,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",6,28,214,0,0,0,0,0,288,1220,10,42,301,1,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",21,29,212,554,329,3905,22,18,36,61,1,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",23,29,212,503,304,3122,18,8,65,327,1,0,0,0,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",20,31,210,415,246,3365,22,10,20,87,1,0,0,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",8,32,200,0,0,0,0,0,296,1192,8,43,316,1,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",4,32,200,0,0,0,0,0,1,8,0,100,1327,12,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",3,34,199,0,0,0,0,0,0,0,0,90,1336,11,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",5,35,195,0,0,0,0,0,0,0,0,95,1230,12,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",10,36,192,0,0,0,0,0,281,1073,8,52,358,1,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",6,37,191,0,0,0,0,0,1,19,0,97,1387,9,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",9,38,190,0,0,0,0,0,206,989,8,56,425,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,39,189,0,0,0,0,0,0,0,0,84,1115,13,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",7,40,188,0,0,0,0,0,0,0,0,82,1286,10,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,40,188,0,0,0,0,0,14,85,1,85,1284,8,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",9,42,187,0,0,0,0,0,8,47,0,109,1435,7,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",7,43,183,0,0,0,0,0,220,1034,8,37,307,1,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",10,43,183,0,0,0,0,0,10,123,0,87,1233,8,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",11,45,182,0,0,0,0,0,286,1187,9,21,127,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",12,45,182,0,0,0,0,0,269,1287,9,8,62,0,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",26,47,180,397,224,2558,14,11,87,304,3,0,0,0,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","STL",24,48,179,486,288,3121,21,14,21,31,0,0,0,0,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",13,48,179,0,0,0,0,0,217,943,9,54,333,1,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",11,50,178,0,0,0,0,0,0,0,0,100,1367,7,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",14,51,177,0,0,0,0,0,210,927,3,52,478,4,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",15,52,175,0,0,0,0,0,195,904,5,50,456,3,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",25,53,173,348,195,2456,12,15,70,351,5,0,0,0,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",12,54,172,0,0,0,0,0,1,12,0,73,1235,8,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",21,55,170,0,0,0,0,0,264,987,6,43,326,1,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",16,56,169,0,0,0,0,0,247,1026,7,40,311,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",19,56,169,0,0,0,0,0,259,1123,8,15,130,0,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",18,58,165,0,0,0,0,0,201,1001,5,37,316,1,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",20,58,165,0,0,0,0,0,166,867,3,48,457,3,NA,NA,NA
