"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Aaron Rodgers","QB","GB",1,1,540,360,4279,39,7,271,3,0,0,NA,NA,352
"Drew Brees","QB","NO",2,2,660,427,5170,40,18,7,1,0,0,NA,NA,334
"Tom Brady","QB","NE",4,3,605,393,4765,34,8,57,2,0,0,NA,NA,325
"Peyton Manning","QB","DEN",3,4,602,400,4870,38,13,4,1,0,0,NA,NA,324
"Cam Newton","QB","CAR",5,5,497,296,3883,20,13,726,8,0,0,NA,NA,323
"Matt Ryan","QB","ATL",6,6,610,402,4737,33,11,130,1,0,0,NA,NA,314
"Colin Kaepernick","QB","SF",7,7,450,282,3833,20,10,590,7,0,0,NA,NA,306
"Matthew Stafford","QB","DET",9,8,707,446,4975,28,16,91,1,0,0,NA,NA,288
"Tony Romo","QB","DAL",12,9,627,417,4756,30,15,40,1,0,0,NA,NA,284
"Russell Wilson","QB","SEA",10,10,437,281,3150,26,13,526,5,0,0,NA,NA,280
"Andrew Luck","QB","IND",11,10,613,372,4061,26,12,289,3,0,0,NA,NA,280
"Adrian Peterson","RB","MIN",1,12,0,0,0,0,0,1692,13,308,1,NA,NA,279
"Robert Griffin III","QB","WAS",8,13,377,237,3067,17,7,624,6,0,0,NA,NA,268
"Arian Foster","RB","HOU",2,14,0,0,0,0,0,1354,13,406,2,NA,NA,261
"Calvin Johnson","WR","DET",1,15,0,0,0,0,0,15,0,1698,12,NA,NA,236
"Marshawn Lynch","RB","SEA",3,16,0,0,0,0,0,1439,12,165,1,NA,NA,233
"Eli Manning","QB","NYG",13,17,532,318,4037,25,17,31,1,0,0,NA,NA,232
"Ray Rice","RB","BAL",4,17,0,0,0,0,0,1190,9,498,2,NA,NA,232
"Matt Schaub","QB","HOU",22,19,570,354,4117,23,12,7,0,0,0,NA,NA,230
"Jamaal Charles","RB","KC",6,20,0,0,0,0,0,1499,4,474,2,NA,NA,228
"C.J. Spiller","RB","BUF",7,21,0,0,0,0,0,1498,5,429,2,NA,NA,227
"Doug Martin","RB","TB",5,22,0,0,0,0,0,1294,8,470,1,NA,NA,226
"Trent Richardson","RB","CLE",8,22,0,0,0,0,0,1251,10,374,1,NA,NA,226
"Ben Roethlisberger","QB","PIT",14,24,449,287,3275,25,9,101,1,0,0,NA,NA,221
"Carson Palmer","QB","ARI",21,24,535,321,4087,25,18,21,0,0,0,NA,NA,221
"Alfred Morris","RB","WAS",9,26,0,0,0,0,0,1497,11,101,0,NA,NA,219
"Josh Freeman","QB","TB",20,27,550,298,3771,24,17,149,0,0,0,NA,NA,218
