"name","name_fftoday","pos","team_fftoday","positionRank_fftoday","overallRank_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","twoPts_fftoday","fumbles_fftoday","pts_fftoday"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,5152,47,12,-11,0,NA,NA,NA,NA,NA,444.5
"DREWBREES","Drew Brees","QB","NO",2,2,4988,40,13,39,0,NA,NA,NA,NA,NA,413.3
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,4460,37,11,228,2,NA,NA,NA,NA,NA,405.8
"NICKFOLES","Nick Foles","QB","PHI",4,4,4075,28,11,313,3,NA,NA,NA,NA,NA,365.1
"CAMNEWTON","Cam Newton","QB","CAR",5,5,3350,22,13,672,7,NA,NA,NA,NA,NA,364.7
"ANDREWLUCK","Andrew Luck","QB","IND",6,6,4255,25,12,299,3,NA,NA,NA,NA,NA,360.7
"MATTRYAN","Matt Ryan","QB","ATL",7,7,4720,27,16,76,1,NA,NA,NA,NA,NA,357.6
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",8,8,3642,21,14,672,4,NA,NA,NA,NA,NA,357.3
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",9,9,4504,27,16,69,1,NA,NA,NA,NA,NA,346.1
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",10,10,3558,23,11,549,3,NA,NA,NA,NA,NA,342.8
"RUSSELLWILSON","Russell Wilson","QB","SEA",11,11,3401,26,12,501,2,NA,NA,NA,NA,NA,336.2
"PHILIPRIVERS","Philip Rivers","QB","SD",12,12,4259,29,14,49,0,NA,NA,NA,NA,NA,333.9
"TOMBRADY","Tom Brady","QB","NE",13,13,4379,27,12,22,0,NA,NA,NA,NA,NA,329.2
"JAYCUTLER","Jay Cutler","QB","CHI",14,14,3924,27,15,177,1,NA,NA,NA,NA,NA,327.9
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",15,15,4182,26,13,84,1,NA,NA,NA,NA,NA,327.5
"ALEXSMITH","Alex Smith","QB","KC",16,16,3579,25,10,389,1,NA,NA,NA,NA,NA,323.9
"TONYROMO","Tony Romo","QB","DAL",17,17,3929,27,14,50,1,NA,NA,NA,NA,NA,315.5
