"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,620,415,4929,43,12,7,0,NA,NA,NA,NA,NA,407.15
"DREWBREES","Drew Brees","QB","NO",2,610,401,4813,39,16,44,1,NA,NA,NA,NA,NA,391.05
"AARONRODGERS","Aaron Rodgers","QB","GB",3,557,359,4411,34,13,224,3,NA,NA,NA,NA,NA,383.95
"ANDREWLUCK","Andrew Luck","QB","IND",4,610,365,4423,27,13,338,2,NA,NA,NA,NA,NA,361.95
"NICKFOLES","Nick Foles","QB","PHI",5,540,361,4315,29,14,277,2,NA,NA,NA,NA,NA,357.45
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",6,635,374,4629,32,19,102,1,NA,NA,NA,NA,NA,356.65
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",7,515,323,3806,22,14,506,5,NA,NA,NA,NA,NA,344.9
"CAMNEWTON","Cam Newton","QB","CAR",8,495,300,3485,22,13,583,6,NA,NA,NA,NA,NA,343.55
"TOMBRADY","Tom Brady","QB","NE",9,610,385,4471,31,13,33,0,NA,NA,NA,NA,NA,337.85
"MATTRYAN","Matt Ryan","QB","ATL",10,613,391,4383,30,16,80,1,NA,NA,NA,NA,NA,337.15
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",11,460,294,3496,23,9,480,5,NA,NA,NA,NA,NA,335.8
"TONYROMO","Tony Romo","QB","DAL",12,555,351,4140,30,14,38,1,NA,NA,NA,NA,NA,322.8
"RUSSELLWILSON","Russell Wilson","QB","SEA",13,432,287,3413,25,10,439,3,NA,NA,NA,NA,NA,322.55
"JAYCUTLER","Jay Cutler","QB","CHI",14,560,342,4032,28,15,116,1,NA,NA,NA,NA,NA,316.2
"PHILIPRIVERS","Philip Rivers","QB","SD",15,560,369,4256,28,14,30,0,NA,NA,NA,NA,NA,313.8
"ANDYDALTON","Andy Dalton","QB","CIN",16,535,330,3793,29,19,132,1,NA,NA,NA,NA,NA,305.85
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,548,345,3973,26,14,100,1,NA,NA,NA,NA,NA,304.65
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",18,558,338,3744,23,16,178,1,NA,NA,NA,NA,NA,287
"JOEFLACCO","Joe Flacco","QB","BAL",19,585,348,3902,24,18,67,1,NA,NA,NA,NA,NA,285.8
"ALEXSMITH","Alex Smith","QB","KC",20,526,320,3382,22,11,271,2,NA,NA,NA,NA,NA,285.2
